study_id,population,sample_size,predictor,outcome,timing,model,effect_size,performance,adjustment,relevance,source
Liu_2019,N=1865,1865,WBC,28-day mortality,First 24h,Logistic regression,HR 90.00,,,Medium,Liu_2019.pdf
Liu_2019,N=1865,1865,platelets,28-day mortality,First 24h,Logistic regression,HR 90.00,,,Medium,Liu_2019.pdf
Liu_2019,N=1865,1865,bilirubin,28-day mortality,First 24h,Logistic regression,HR 90.00,,,Medium,Liu_2019.pdf
Liu_2019,N=1865,1865,albumin,28-day mortality,First 24h,Logistic regression,HR 90.00,,,Medium,Liu_2019.pdf
Liu_2019,N=1865,1865,lactate,28-day mortality,First 24h,Logistic regression,HR 90.00,,,High,Liu_2019.pdf
Luo_2022,N=9111,9111,platelets,28-day mortality,First 24h,Logistic regression,HR 1.59,,,Medium,Luo_2022.pdf
Luo_2022,N=9111,9111,bilirubin,28-day mortality,First 24h,Logistic regression,HR 1.59,,,Medium,Luo_2022.pdf
Luo_2022,N=9111,9111,albumin,28-day mortality,First 24h,Logistic regression,HR 1.59,,,Medium,Luo_2022.pdf
Luo_2022,N=9111,9111,lactate,28-day mortality,First 24h,Logistic regression,HR 1.59,,,High,Luo_2022.pdf
Luo_2022,N=9111,9111,creatinine,28-day mortality,First 24h,Logistic regression,HR 1.59,,,Medium,Luo_2022.pdf
Park_2022,N=2126,2126,CRP,28-day mortality,First 24h,Logistic regression,OR 2.99,,,Medium,Park_2022.pdf
Park_2022,N=2126,2126,procalcitonin,28-day mortality,First 24h,Logistic regression,OR 2.99,,,Medium,Park_2022.pdf
Park_2022,N=2126,2126,bilirubin,28-day mortality,First 24h,Logistic regression,OR 2.99,,,Medium,Park_2022.pdf
Park_2022,N=2126,2126,lactate,28-day mortality,First 24h,Logistic regression,OR 2.99,,,High,Park_2022.pdf
Park_2022,N=2126,2126,creatinine,28-day mortality,First 24h,Logistic regression,OR 2.99,,,Medium,Park_2022.pdf
Ren_2022,N=1676,1676,WBC,28-day mortality,First 24h,Logistic regression,HR 80.00,,,Medium,Ren_2022.pdf
Ren_2022,N=1676,1676,leukocyte,28-day mortality,First 24h,Logistic regression,HR 80.00,,,Medium,Ren_2022.pdf
Ren_2022,N=1676,1676,bilirubin,28-day mortality,First 24h,Logistic regression,HR 80.00,,,Medium,Ren_2022.pdf
Ren_2022,N=1676,1676,albumin,28-day mortality,First 24h,Logistic regression,HR 80.00,,,Medium,Ren_2022.pdf
Ren_2022,N=1676,1676,lactate,28-day mortality,First 24h,Logistic regression,HR 80.00,,,High,Ren_2022.pdf
Roh_2019,N=1145,1145,lactate,28-day mortality,First 24h,Logistic regression,,AUC 0.716,,High,Roh_2019.pdf
Schlapbach_2018,N=715,715,lactate,28-day mortality,First 24h,Logistic regression,HR 2.00,,,High,Schlapbach_2018.pdf
Seymour_2016,N=706399,706399,bilirubin,28-day mortality,First 24h,Logistic regression,HR 4.20,,,Medium,Seymour_2016.pdf
Seymour_2016,N=706399,706399,creatinine,28-day mortality,First 24h,Logistic regression,HR 4.20,,,Medium,Seymour_2016.pdf
Seymour_2016,N=706399,706399,lactate,28-day mortality,First 24h,Logistic regression,HR 4.20,,,High,Seymour_2016.pdf
Suttapanit_2022,N=550,550,lactate,28-day mortality,First 24h,Logistic regression,HR 28.00,,,High,Suttapanit_2022.pdf
Tang_2025,N=415,415,procalcitonin,28-day mortality,First 24h,Logistic regression,HR 28.00,,,Medium,Tang_2025.pdf
Tang_2025,N=415,415,platelets,28-day mortality,First 24h,Logistic regression,HR 28.00,,,Medium,Tang_2025.pdf
Tang_2025,N=415,415,albumin,28-day mortality,First 24h,Logistic regression,HR 28.00,,,Medium,Tang_2025.pdf
Tang_2025,N=415,415,lactate,28-day mortality,First 24h,Logistic regression,HR 28.00,,,High,Tang_2025.pdf
Todi_2024,N=1172,1172,platelets,28-day mortality,First 24h,Logistic regression,HR 2.00,AUC 0.768,,Medium,Todi_2024.pdf
Todi_2024,N=1172,1172,albumin,28-day mortality,First 24h,Logistic regression,HR 2.00,AUC 0.768,,Medium,Todi_2024.pdf
Todi_2024,N=1172,1172,creatinine,28-day mortality,First 24h,Logistic regression,HR 2.00,AUC 0.768,,Medium,Todi_2024.pdf
Todi_2024,N=1172,1172,lactate,28-day mortality,First 24h,Logistic regression,HR 2.00,AUC 0.768,,High,Todi_2024.pdf
Varga_2024,N=138,138,WBC,28-day mortality,First 24h,Logistic regression,,AUC 0.903,,Medium,Varga_2024.pdf
Varga_2024,N=138,138,CRP,28-day mortality,First 24h,Logistic regression,,AUC 0.903,,Medium,Varga_2024.pdf
Varga_2024,N=138,138,procalcitonin,28-day mortality,First 24h,Logistic regression,,AUC 0.903,,Medium,Varga_2024.pdf
Varga_2024,N=138,138,bilirubin,28-day mortality,First 24h,Logistic regression,,AUC 0.903,,Medium,Varga_2024.pdf
Varga_2024,N=138,138,albumin,28-day mortality,First 24h,Logistic regression,,AUC 0.903,,Medium,Varga_2024.pdf
Wang_2020,N=910,910,creatinine,28-day mortality,First 24h,Logistic regression,OR 0.65,,,Medium,Wang_2020.pdf
Wang_2020,N=910,910,lactate,28-day mortality,First 24h,Logistic regression,OR 0.65,,,High,Wang_2020.pdf
Wang_2023,N=0,0,WBC,28-day mortality,First 24h,Logistic regression,OR 1.28,AUC 0.773,,Medium,Wang_2023.pdf
Wang_2023,N=0,0,bilirubin,28-day mortality,First 24h,Logistic regression,OR 1.28,AUC 0.773,,Medium,Wang_2023.pdf
Wang_2023,N=0,0,albumin,28-day mortality,First 24h,Logistic regression,OR 1.28,AUC 0.773,,Medium,Wang_2023.pdf
Wang_2023,N=0,0,lactate,28-day mortality,First 24h,Logistic regression,OR 1.28,AUC 0.773,,High,Wang_2023.pdf
Wang_2023,N=0,0,creatinine,28-day mortality,First 24h,Logistic regression,OR 1.28,AUC 0.773,,Medium,Wang_2023.pdf
Wen_2019,N=138,138,procalcitonin,28-day mortality,First 24h,Logistic regression,OR 1.22,AUC 0.817,,Medium,Wen_2019.pdf
Wen_2019,N=138,138,platelets,28-day mortality,First 24h,Logistic regression,OR 1.22,AUC 0.817,,Medium,Wen_2019.pdf
Wen_2019,N=138,138,bilirubin,28-day mortality,First 24h,Logistic regression,OR 1.22,AUC 0.817,,Medium,Wen_2019.pdf
Wen_2019,N=138,138,lactate,28-day mortality,First 24h,Logistic regression,OR 1.22,AUC 0.817,,High,Wen_2019.pdf
Wen_2019,N=138,138,creatinine,28-day mortality,First 24h,Logistic regression,OR 1.22,AUC 0.817,,Medium,Wen_2019.pdf
Zhang_2019,N=1243,1243,lactate,28-day mortality,First 24h,Logistic regression,HR 2.00,,,High,Zhang_2019.pdf
Zhang_2021,N=443,443,WBC,28-day mortality,First 24h,Logistic regression,HR 19.70,AUC 0.800,,Medium,Zhang_2021.pdf
Zhang_2021,N=443,443,bilirubin,28-day mortality,First 24h,Logistic regression,HR 19.70,AUC 0.800,,Medium,Zhang_2021.pdf
Zhang_2021,N=443,443,albumin,28-day mortality,First 24h,Logistic regression,HR 19.70,AUC 0.800,,Medium,Zhang_2021.pdf
Zhang_2021,N=443,443,lactate,28-day mortality,First 24h,Logistic regression,HR 19.70,AUC 0.800,,High,Zhang_2021.pdf
